Class,ResNet50_Precision,EfficientNet_Precision,ResNet50_Recall,EfficientNet_Recall,ResNet50_F1,EfficientNet_F1
akiec,0.42857142857142855,0.5555555555555556,0.1956521739130435,0.5434782608695652,0.26865671641791045,0.5494505494505495
bcc,0.4791666666666667,0.6515151515151515,0.3709677419354839,0.6935483870967742,0.41818181818181815,0.671875
bkl,0.41911764705882354,0.5202020202020202,0.6627906976744186,0.5988372093023255,0.5135135135135135,0.5567567567567567
df,0.0,0.0,0.0,0.0,0.0,0.0
mel,0.4027777777777778,0.49074074074074076,0.3841059602649007,0.3509933774834437,0.39322033898305087,0.4092664092664093
nv,0.8847290640394089,0.8776448942042319,0.8528015194681862,0.905982905982906,0.8684719535783365,0.891588785046729
vasc,0.5789473684210527,0.8666666666666667,0.5238095238095238,0.6190476190476191,0.55,0.7222222222222222
